ko,个,literary,,,
kò,告,colloquial,,,
khŏ,可,same,,,
qo,鹅,colloquial,,,
qo,饿,literary,,,
qŏ,我,literary,,,
qô,饿,colloquial,,,
qô,俄,same,,,
?ó,澳,colloquial,"?ómuan ""澳门""",,
?o,河,colloquial,,,
?o,□,colloquial,(一),,
?o,□,colloquial,(叹词),,
?ô,□,colloquial,(叹词),,
?ô,□,colloquial,kêkéke?ô (公鸡鸣啼声),,
ho,豪,colloquial,,,
ho,贺,literary,,,
hŏ,好,colloquial,,,
hô,豪,colloquial,"hôci 毫子"" (-毛钱)",,
hô,贺,colloquial,,,
hô,河,literary,,,
hô,何,literary,,,
lá,□,colloquial,FP,,
la,□,colloquial,FP,,
pîa,避,colloquial,,,
phía,批,colloquial,,,
phía,披,colloquial,,,
tía,爹,colloquial,,,
tía,□,colloquial,(里面),,
thìa,剃,colloquial,,,
nia,□,colloquial,(女孩),,
lia,离,colloquial,,,
lia,里,colloquial,(衣服里面),,
lîa,例,colloquial,,,
cía,蔗,colloquial,"cíaláam (零食) ""蔗? 榄?""",,
cia,遮,same,,,
cia,嗟,same,,,
cia,这,literary,,,
cia,蔗,literary,,,
cia,借,literary,,,
cìa,谢,colloquial,,,
cìa,蔗,colloquial,,,
cĭa,者,same,,,
cĭa,姐,same,,,
cîa,谢,colloquial,,,
chía,车,same,,,
chia,斜,colloquial,,,
chia,邪,colloquial,,,
chĭa,扯,colloquial,,,
chĭa,且,literary,,,
chîa,刺,colloquial,,,
chîa,邪,literary,,,
sía,些,literary,,,
sia,匙,colloquial,,,
sia,赦,literary,,,
sia,射,literary,,,
sia,舍,literary,,,
sìa,舍,colloquial,,,
sìa,赦,colloquial,,,
sìa,世,colloquial,,,
sìa,势,colloquial,,,
sĭa,写,same,,,
sĭa,舍,same,,,
sĭa,社,same,,,
sîa,射,colloquial,,,
sîa,蛇,literary,,,
kía,鸡,colloquial,,,
kìa,寄,colloquial,,,
kìa,继,colloquial,,,
kìa,计,colloquial,,,
khia,骑,colloquial,,,
khìa,契,colloquial,,,
khîa,企,colloquial,,,
khîa,骑,colloquial,,,
qia,儿,colloquial,,,
qîa,蚁,colloquial,,,
qîa,外,colloquial,,,
qîa,艺,colloquial,,,
híu,靴,same,,,
pùa,播,colloquial,,,
pùa,布,colloquial,,,
pŭa,补,colloquial,,,
pûa,步,colloquial,,,
pûa,部,colloquial,,,
phua,扶,colloquial,,,
phùa,破,colloquial,,,
phùa,铺,colloquial,,,
múa,摩,colloquial,,,
mua,磨,colloquial,,,
mua,麻,colloquial,,,
mùa,□,colloquial,cúqmùa (女人),,
mŭa,□,colloquial,sŭqmŭa (昨天),,
wúa,□,colloquial,FP,,
wua,□,colloquial,FP,,
tua,□,colloquial,"tuacǔj ""大? 水? (祭祀时的焚化用纸)",,
tùa,戴,colloquial,,,
tùa,带,colloquial,,,
tŭa,大,colloquial,,,
thúa,拖,colloquial,,,
lúa,□,colloquial,FP,,
lua,骡,colloquial,,,
lua,□,colloquial,FP,,
lûa,赖,colloquial,,,
cùa,债,colloquial,,,
cŭa,纸,colloquial,,,
cŭa,主,colloquial,,,
chùa,次,colloquial,,,
chùa,□,colloquial,"(见福建方 ""厝"") (房子)",,
súa,沙,colloquial,,,
sua,蛇,colloquial,,,
kúa,瓜,colloquial,,,
kúa,戈,literary,,,
kua,过,literary,,,
kùa,过,colloquial,,,
kùa,句,colloquial,,,
kùa,卦,colloquial,,,
kŭa,果,same,,,
kŭa,果,literary,,,
kŭa,裹,literary,,,
khúa,夸,colloquial,,,
khúa,去,colloquial,,,
khúa,挂,colloquial,,,
qua,卧,literary,,,
qûa,瓦,colloquial,,,
qûa,午,colloquial,,,
qûa,讹,literary,,,
páa,爸,colloquial,,,
páa,巴,same,,,
paa,爬,colloquial,,,
paa,吧,literary,,,
paa,罢,literary,,,
păa,把,colloquial,,,
pâa,罢,colloquial,,,
pâa,□,colloquial,FP,,
pháa,拍,colloquial,,,
phaa,怕,literary,,,
phâa,琶,same,,,
phâa,爬,literary,,,
máa,妈,colloquial,,,
máa,吗,literary,,,
maa,麻,colloquial,,,
maa,□,colloquial,"maafúan ""麻番""(晚上)",,
maa,骂,literary,,,
màa,骂,colloquial,,,
măa,马,same,,,
măa,妈,same,,,
măa,码,same,,,
măa,玛,literary,,,
măa,麻,literary,,,
mâa,□,colloquial,"maafúan ""麻番""(晚上)",,
fáa,花,literary,,,
faa,化,literary,,,
wáa,□,colloquial,FP,,
waa,□,colloquial,FP,,
waa,画,literary,,,
waa,话,literary,,,
wăa,我,colloquial,,,
wâa,画,colloquial,,,
wâa,□,colloquial,FP,,
wâa,华,literary,,,
faa,茶,colloquial,,,
tăa,打,literary,,,
tháa,□,colloquial,"tháathîaw ""他调"" (试比较福方""客游""?)",,
náa,瘌,colloquial,(疤),,
náa,□,colloquial,FP,,
naa,□,colloquial,FP,,
naa,□,colloquial,"naakáaq ""拿更""(关系)",,
naa,□,colloquial,naahaaj (怎样),,
naa,□,colloquial,naasi (但是),,
nàa,□,colloquial,(叹词),,
năa,□,colloquial,(năanŏnsíaw),,
nâa,□,colloquial,(nâansi),,
nâa,□,colloquial,(nâanáaj) (对老年妇女的尊称),,
láa,□,colloquial,(FP),,
láa,拉,literary,,,
laa,拉,colloquial,(laachùt níaw “拉出尿”),,
lâa,拉,colloquial,(lâanîaw),,
lâa,□,colloquial,(□□横),,
cáa,□,colloquial,(才直到),,
cáa,□,colloquial,(FP) (才?),,
caa,柴,colloquial,,,
caa,乍,literary,,,
caa,诈,literary,,,
càa,诈,colloquial,,,
căa,早,colloquial,,,
cháa,叉,colloquial,,,
cháa,差,same,(=),,
chaa,查,colloquial,,,
chaa,柴,colloquial,,,
chăa,炒,colloquial,,,
châa,茶,literary,,,
châa,查,literary,,,
sáa,纱,colloquial,,,
sáa,沙,literary,(=l:),,
săa,酒,literary,,,
jaa,移,colloquial,,,
jaa,夜,literary,,,
jăa,椅,colloquial,,,
jăa,也,same,(=野=),,
jăa,惹,same,(=),,
jâa,夜,colloquial,,,
káa,价,colloquial,(家 tàwkáa),,
kaa,□,colloquial,(kaalaawwaaq),,
kàa,教,colloquial,,,
kàa,假,colloquial,,,
kàa,架,colloquial,,,
kàa,嫁,colloquial,,,
kăa,假,colloquial,,,
kâa,咬,colloquial,,,
kháa,□,colloquial,(脚) (见福方“胶”、“脚”?),,
qaa,衙,colloquial,,,
qaa,牙,colloquial,,,
qaa,鸦,colloquial,(每月初二、十六的祭祀),,
qaa,讶,literary,,,
qăa,瓦,literary,,,
qâa,衡,literary,,,
qâa,牙,literary,,,
?áa,亚,colloquial,(□ FP),,
?áa,丫,same,(=鸦=),,
?aa,□,colloquial,(FP,吓=(用于某些可否定词后，指短促时间)),
?aa,□,colloquial,(?aasi(或是)),,
?aa,拗,colloquial,(症=),,
?âa,下,colloquial,,,
háa,□,colloquial,(叹词),,
háa,虾,literary,,,
haa,虾,colloquial,,,
haa,下,literary,,,
haa,夏,literary,,,
haa,暇,literary,,,
hăa,吓,literary,,,
hâa,夏,colloquial,,,
hâa,霞,literary,,,
kwáa,瓜,literary,,,
kwaa,挂,literary,,,
kwaa,卦,literary,,,
kwăa,寡,colloquial,(=),,
khwáa,夸,literary,,,
píw,票,literary,,,
pĭw,表,literary,,,
phíw,飘,literary,,,
phiw,漂,literary,,,
phîw,瓢,literary,,,
miw,庙,literary,,,
miw,妙,literary,,,
mĭw,蔑,colloquial,,,
mîw,苗,literary,,,
tíw,刁,literary,,,
tiw,吊,literary,,,
tiw,钓,literary,,,
tiw,调,literary,,,
tiw,掉,literary,,,
tîw,稻,colloquial,,,
tîw,住,colloquial,,,
thíw,挑,literary,,,
thíw,条,literary,,,
thiw,调,literary,,,
thiw,跳,literary,,,
thîw,跳,literary,,,
nĭw,纽,colloquial,,,
nĭw,鸟,literary,,,
liw,刘,colloquial,,,
liw,料,literary,,,
lĭw,了,literary,,,
lîw,辽,colloquial,,,
lîw,燎,literary,(=l:),,
lîw,聊,literary,,,
cíw,周,colloquial,,,
