Line 4767: 冒 | XHZD: mò (mo4) | CEDICT: ['mao4']
Line 4776: 嘿 | XHZD: mò (mo4) | CEDICT: ['hei1']
Line 4818: 唔 | XHZD: ń（又） () | CEDICT: ['wu2']
Line 4819: 嗯 | XHZD: ǹ () | CEDICT: ['en5', 'en1', 'en4']
Line 4820: 嗯 | XHZD: ň（又） () | CEDICT: ['en5', 'en1', 'en4']
Line 4821: 嗯 | XHZD: ǹ（又） (n) | CEDICT: ['en5', 'en1', 'en4']
Line 4824: 镎 | XHZD: nǎ (na3) | CEDICT: ['na2']
Line 4845: 佴 | XHZD: nài (nai4) | CEDICT: ['er4']
Line 4847: 耏 | XHZD: nài (nai4) | CEDICT: ['er2']
Line 4863: 囊 | XHZD: nāng (nang1) | CEDICT: ['nang2']
Line 4894: 那 | XHZD: nèi (nei4) | CEDICT: ['na3', 'na1', 'nuo2', 'na4']
Line 4899: 唔 | XHZD: ńg又ń (g) | CEDICT: ['wu2']
Line 4900: 嗯 | XHZD: ǹ () | CEDICT: ['en5', 'en1', 'en4']
Line 4901: 嗯 | XHZD: ňg又ň (g) | CEDICT: ['en5', 'en1', 'en4']
Line 4902: 嗯 | XHZD: ǹg又ǹ (ngn) | CEDICT: ['en5', 'en1', 'en4']
Line 4905: 伲 | XHZD: ní (ni2) | CEDICT: ['ni3', 'ni4']
Line 4940: 辇 | XHZD: niǎn（旧读liǎn） (nianlian3) | CEDICT: ['nian3']
Line 4948: 酿 | XHZD: niáng (niang2) | CEDICT: ['niang4']
Line 5006: 弄 | XHZD: nòng（旧读lòng） (nonglong4) | CEDICT: ['nong4', 'long4']
Line 5079: 排 | XHZD: pǎi (pai3) | CEDICT: ['pai2']
Line 5135: 呸 | XHZD: 衃 () | CEDICT: ['pei1']
Line 5160: 澎 | XHZD: pēng (peng1) | CEDICT: ['peng2']
Line 5173: 搒 | XHZD: péng (peng2) | CEDICT: ['bang4', 'peng4']
Line 5194: 陂 | XHZD: pí (pi2) | CEDICT: ['po1', 'bei1']
Line 5226: 埤 | XHZD: pì (pi4) | CEDICT: ['pi2']
Line 5261: 薸 | XHZD: piáo又piāo (piaopiao1) | CEDICT: ['piao1']
Line 5316: 泺 | XHZD: pō (po1) | CEDICT: ['luo4']
Line 5323: 繁 | XHZD: pó (po2) | CEDICT: ['fan2']
Line 5369: 暴 | XHZD: pù (pu4) | CEDICT: ['bao4']
Line 5386: 欹 | XHZD: qī (qi1) | CEDICT: ['yi1']
Line 5485: 瓩 | XHZD: qiānwǎ (qianwa3) | CEDICT: ['qian1wa3']
Line 5495: 嗛 | XHZD: qiān (qian1) | CEDICT: ['qian4']
Line 5512: 靬 | XHZD: qián (qian2) | CEDICT: ['jian1']
Line 5513: 犍 | XHZD: qián (qian2) | CEDICT: ['jian1']
Line 5520: 嗛 | XHZD: qiǎn (qian3) | CEDICT: ['qian4']
Line 5546: 𬧀 | XHZD: qiāng (qiang1) | CEDICT: ['qiang4']
Line 5560: 戗 | XHZD: qiàng (qiang4) | CEDICT: ['qiang1']
Line 5576: 峤 | XHZD: qiáo (qiao2) | CEDICT: ['jiao4']
Line 5599: 伽 | XHZD: qié (qie2) | CEDICT: ['jia1']
Line 5622: 矜 | XHZD: qín (qin2) | CEDICT: ['jin1']
Line 5623: 梣 | XHZD: qín (qin2) | CEDICT: ['chen2']
Line 5627: 溱 | XHZD: qín (qin2) | CEDICT: ['zhen1']
Line 5638: 锓 | XHZD: qǐn (qin3) | CEDICT: ['qin2']
Line 5664: 謦 | XHZD: qǐng (qing3) | CEDICT: ['qi4']
Line 5665: 庆 | XHZD: qǐng (qing3) | CEDICT: ['qing4']
Line 5666: 亲 | XHZD: qǐng (qing3) | CEDICT: ['qing4', 'qin1']
Line 5669: 綮 | XHZD: qìng (qing4) | CEDICT: ['qi3']
Line 5681: 銎 | XHZD: qióng (qiong2) | CEDICT: ['qiong1']
Line 5688: 湫 | XHZD: qiū (qiu1) | CEDICT: ['jiao3']
Line 5692: 鞧 | XHZD: qiú (qiu2) | CEDICT: ['qiu1']
Line 5789: 劵 | XHZD: quàn (quan4) | CEDICT: ['juan4']
Line 5794: 却 | XHZD: qué (que2) | CEDICT: ['que4']
Line 5796: 确 | XHZD: qué (que2) | CEDICT: ['que4']
Line 5797: 𬒈 | XHZD: qué (que2) | CEDICT: ['que4', 'hu2']
Line 5798: 悫 | XHZD: qué (que2) | CEDICT: ['que4']
Line 5800: 阕 | XHZD: qué (que2) | CEDICT: ['que4']
Line 5801: 阙 | XHZD: qué (que2) | CEDICT: ['que1', 'que4']
Line 5803: 榷 | XHZD: qué (que2) | CEDICT: ['que4']
Line 5804: 鹊 | XHZD: qué (que2) | CEDICT: ['que4']
Line 5819: 嚷 | XHZD: rāng (rang1) | CEDICT: ['rang3']
Line 5832: 瀼 | XHZD: ràng (rang4) | CEDICT: ['rang2']
Line 5833: 荛 | XHZD: ràng (rang4) | CEDICT: ['rao2']
Line 5834: 饶 | XHZD: ràng (rang4) | CEDICT: ['rao2']
Line 5838: 娆 | XHZD: rǎo (rao3) | CEDICT: ['rao2']
Line 5863: 葚 | XHZD: rèn (ren4) | CEDICT: ['shen4']
Line 5903: 嬬 | XHZD: rú (ru2) | CEDICT: ['xu1']
Line 5906: 蠕 | XHZD: rú（旧读ruǎn） (ruruan3) | CEDICT: ['ru2']
Line 5917: 挼 | XHZD: ruá (rua2) | CEDICT: ['ruo2']
Line 5941: 婼 | XHZD: ruò (ruo4) | CEDICT: ['chuo4']
Line 5957: 挲 | XHZD: sa (sa) | CEDICT: ['suo1']
Line 6006: 杉 | XHZD: shā (sha1) | CEDICT: ['shan1']
Line 6016: 傻 | XHZD: shá (sha2) | CEDICT: ['sha3']
Line 6017: 沙 | XHZD: shà (sha4) | CEDICT: ['sha1']
Line 6018: 唼 | XHZD: shà (sha4) | CEDICT: ['sha3']
Line 6025: 挲 | XHZD: sha (sha) | CEDICT: ['suo1']
Line 6027: 酾 | XHZD: shāi（又） (shai1) | CEDICT: ['shi1']
Line 6039: 栅 | XHZD: shān (shan1) | CEDICT: ['zha4']
