白,10,右栏第4条,bái,一级,5画,❶像雪或乳汁的颜色，跟“黑”相对：～面|他头发～了。转：1.有关丧事的：办～事。2.反动的：～军|～匪。［白领］一般指从事脑力劳动的管理人员、技术人员、政府公务人员等。❷清楚（连：明–）：真相大～|蒙受不～之冤。❸亮：东方发～。❹空空的，没有加上其他东西的：～卷（juàn）|～水|～地（没有庄稼的地）。引：副词。1.没有效果地：这话算～说|烈士们的鲜血没有～流。2.不付代价地：～给|～饶|～吃。❺陈述，说明：自～|表～|道～（戏曲中不用唱的语句）。［白话］在口语基础上形成的汉语书面语，跟“文言”相对。❻指字形或字音有错：写～了|念～了。［白字］别字。［白族］我国少数民族，参看附表。
拜,11,左栏第1条,bái,一级,9画,［拜拜］（外）再见。引：结束某种关系。另见bài。
百,11,左栏第2条,bǎi,一级,6画,❶数目，十个十。引：表示众多或所有的：～花齐放，～家争鸣|～战～胜。［百姓］人民。❷法定计量单位中十进倍数单位词头之一，表示102，符号h。
佰,11,左栏第3条,bǎi,二级,8画,“百”字的大写。
伯,11,左栏第4条,bǎi,一级,7画,［大伯子］（––zi）丈夫的哥哥。另见bó。
柏,11,左栏第5条,bǎi,一级,9画,❶常绿乔木，有侧柏、圆柏、罗汉柏等多种。木质坚硬，纹理致密，可供建筑或制器物用。❷姓。另见bó；bò。
捭,11,左栏第6条,bǎi,二级,11画,分开：～阖（hé）（开合）。
摆（擺、⑤襬）,11,左栏第7条,bǎi,一级,13画,❶陈列，安放：把东西～整齐。引：故意显示：～阔|～架子。［摆布］任意支配：受人～。❷陈述，列举：～事实，讲道理。❸来回地摇动：～手|摇头～尾|大摇大～。［摆渡］1.用船运载过河。2.过河用的船。［摆脱］挣脱，甩开：～贫困。❹钟表等用于控制摆动频率的装置：钟～。❺衣裙的下边：下～。（图见“上衣”）
呗（唄）,11,右栏第1条,bài,二级,7画,"［梵呗］（fàn–）佛教徒念经的声音。
另见bei。"
败（敗）,11,右栏第2条,bài,一级,8画,"❶输，失利，跟“胜”相对：一～涂地|敌军～了。
❷打败，使失败：人民军队大～侵略军。
❸做事没有达到目的，不成功，跟“成”相对：功～垂成。
❹败坏，毁坏：～血症|身～名裂。
❺解除，消散：～火|～毒。
❻衰落，使衰落：花开～了|～兴（xìng）（情绪低落）|～家子儿。"
拜,11,右栏第3条,bài,一级,9画,❶表示敬意的礼节：对～|叩～|跪～。引：恭敬地：～托|～访|～望|～请。［礼拜］宗教徒对神敬礼或祷告。转：周、星期的别称。❷行礼祝贺：～年|～寿。❸用一定的礼节授予某种名义或结成某种关系：～将（jiàng）|～师。另见bái。
稗（*粺）,11,右栏第4条,bài,二级,13画,（–子）草本植物，长在稻田里或低湿的地方，叶像稻叶，是稻田的害草。喻：微小的，琐碎的：～史（记载逸闻琐事的书）。
𫖔（韛）,12,左栏第1条,bài,无,14画,〈方〉风箱：风～|～拐子（风箱的拉手）。
㗑,12,左栏第2条,bai,无,12画,助词，用法相当于“呗”（bei）。
扳,12,左栏第3条,bān,一级,7画,"❶把一端固定的东西往下或往里拉，使改变方向：～枪栓|～着指头算。
❷把输了的赢回来：～回一局。"
颁,12,左栏第4条,bān,一级,10画,发下（连：–发）：～布|～证|～奖。
颁（頒）,12,左栏第5条,bān,一级,10画,发下（连：–发）：～布|～证|～奖。
班,12,左栏第6条,bān,一级,10画,❶工作或学习的组织：机修～|学习～。❷工作按时间分成的段落，也指工作或学习的场所：排～|上～|下～|值～。❸定时开行的：～车|～机。❹军队编制中的基层单位，在排以下。❺量词。1.用于人群：这～年轻人真有力气。2.用于定时开行的交通运输工具：我搭下一～飞机走。❻调回或调动（军队）：～师|～兵。
斑,12,右栏第1条,bān,一级,12画,一种颜色中夹杂的别种颜色的点子或条纹（连：–驳）：～马|～竹|～白（花白）|雀～。［斑斓］（–lán）灿烂多彩：色彩～。
癍,12,右栏第2条,bān,二级,14画,皮肤上生斑点的病。
般,12,右栏第3条,bān,一级,10画,❶样，种类：如此这～|百～照顾|兄弟～的友谊。［一般］1.同样：我们两个人～高。2.普通，普遍：～的读物|～人的意见。❷古同“搬”。
搬,12,右栏第4条,bān,一级,13画,移动，迁移：把这块石头～开|～家。
瘢,12,右栏第5条,bān,二级,15画,疤，伤口或疮平复以后留下的痕迹：～痕。
𨭉,12,右栏第6条,bān,三级,20画,文武全才。
